SNo,Name,ItemId,ItemName,Quantity,Rate,Total,CostCenterId,Date
1,Restaurant1,3,Chicken Mo:Mo,2,300,600,1,2018-05-24
2,Restaurant1,3,Chicken Mo:Mo,7,300,2100,1,2018-06-15
3,Restaurant1,5,Mineral Water,6,80,480,2,2018-06-15
4,Restaurant1,9,Soft Drinks-Coke-250ml,6,100,600,2,2018-06-15
5,Restaurant1,10,Tuborg,2,450,900,2,2018-06-15
6,Restaurant1,2,Cafe Latte,2,160,320,2,2018-06-16
7,Restaurant1,2,Cafe Latte,7,160,1120,3,2018-06-16
8,Restaurant1,3,Chicken Mo:Mo,6,300,1800,1,2018-06-16
9,Restaurant1,5,Mineral Water,8,80,640,2,2018-06-16
10,Restaurant1,9,Soft Drinks-Coke-250ml,1,100,100,2,2018-06-16
11,Restaurant1,3,Chicken Mo:Mo,12,300,3600,1,2018-06-17
12,Restaurant1,5,Mineral Water,11,80,880,2,2018-06-17
13,Restaurant1,3,Chicken Mo:Mo,4,300,1200,1,2018-06-18
14,Restaurant1,5,Mineral Water,1,80,80,2,2018-06-18
15,Restaurant1,9,Soft Drinks-Coke-250ml,3,100,300,2,2018-06-18
16,Restaurant1,3,Chicken Mo:Mo,5,300,1500,1,2018-06-19
17,Restaurant1,5,Mineral Water,6,80,480,2,2018-06-19
18,Restaurant1,9,Soft Drinks-Coke-250ml,10,100,1000,2,2018-06-19
19,Restaurant1,2,Cafe Latte,1,160,160,3,2018-06-20
20,Restaurant1,3,Chicken Mo:Mo,2,300,600,1,2018-06-20
21,Restaurant1,5,Mineral Water,4,80,320,2,2018-06-20
22,Restaurant1,6,Mineral Water (P),18,60,1080,2,2018-06-20
23,Restaurant1,3,Chicken Mo:Mo,1,300,300,1,2018-06-21
24,Restaurant1,5,Mineral Water,14,80,1120,2,2018-06-21
25,Restaurant1,6,Mineral Water (P),12,60,720,2,2018-06-21
26,Restaurant1,9,Soft Drinks-Coke-250ml,1,100,100,2,2018-06-21
27,Restaurant1,3,Chicken Mo:Mo,7,300,2100,1,2018-06-22
28,Restaurant1,5,Mineral Water,7,80,560,2,2018-06-22
29,Restaurant1,9,Soft Drinks-Coke-250ml,5,100,500,2,2018-06-22
30,Restaurant1,2,Cafe Latte,5,160,800,3,2018-06-23
31,Restaurant1,3,Chicken Mo:Mo,29,300,8700,1,2018-06-23
32,Restaurant1,5,Mineral Water,31,80,2480,2,2018-06-23
33,Restaurant1,9,Soft Drinks-Coke-250ml,5,100,500,2,2018-06-23
34,Restaurant1,10,Tuborg,13,450,5850,2,2018-06-23
35,Restaurant1,2,Cafe Latte,2,160,320,3,2018-06-24
36,Restaurant1,3,Chicken Mo:Mo,12,300,3600,1,2018-06-24
37,Restaurant1,5,Mineral Water,8,80,640,2,2018-06-24
38,Restaurant1,10,Tuborg,3,450,1350,2,2018-06-24
39,Restaurant1,2,Cafe Latte,2,160,320,3,2018-06-25
40,Restaurant1,3,Chicken Mo:Mo,11,300,3300,1,2018-06-25
41,Restaurant1,5,Mineral Water,22,80,1760,2,2018-06-25
42,Restaurant1,6,Mineral Water (P),167,60,10020,2,2018-06-25
43,Restaurant1,9,Soft Drinks-Coke-250ml,3,100,300,2,2018-06-25
44,Restaurant1,10,Tuborg,2,450,900,2,2018-06-25
45,Restaurant1,3,Chicken Mo:Mo,9,300,2700,1,2018-06-26
46,Restaurant1,5,Mineral Water,7,80,560,2,2018-06-26
47,Restaurant1,9,Soft Drinks-Coke-250ml,14,100,1400,2,2018-06-26
48,Restaurant1,10,Tuborg,4,450,1800,2,2018-06-26
49,Restaurant1,3,Chicken Mo:Mo,3,300,900,1,2018-06-27
50,Restaurant1,5,Mineral Water,10,80,800,2,2018-06-27
51,Restaurant1,6,Mineral Water (P),4,60,240,2,2018-06-27
52,Restaurant1,6,Mineral Water (P),9,60,540,2,2018-06-28
53,Restaurant1,2,Cafe Latte,1,160,160,3,2018-06-29
54,Restaurant1,3,Chicken Mo:Mo,5,300,1500,1,2018-06-29
55,Restaurant1,5,Mineral Water,4,80,320,2,2018-06-29
56,Restaurant1,9,Soft Drinks-Coke-250ml,2,100,200,2,2018-06-29
57,Restaurant1,3,Chicken Mo:Mo,14,300,4200,1,2018-06-30
58,Restaurant1,5,Mineral Water,14,80,1120,2,2018-06-30
59,Restaurant1,9,Soft Drinks-Coke-250ml,3,100,300,2,2018-06-30
60,Restaurant1,10,Tuborg,20,450,9000,2,2018-06-30
61,Restaurant1,2,Cafe Latte,5,160,800,3,2018-07-01
62,Restaurant1,3,Chicken Mo:Mo,18,300,5400,1,2018-07-01
63,Restaurant1,5,Mineral Water,5,80,400,2,2018-07-01
64,Restaurant1,9,Soft Drinks-Coke-250ml,6,100,600,2,2018-07-01
65,Restaurant1,3,Chicken Mo:Mo,8,300,2400,1,2018-07-02
66,Restaurant1,5,Mineral Water,8,80,640,2,2018-07-02
67,Restaurant1,9,Soft Drinks-Coke-250ml,5,100,500,2,2018-07-02
68,Restaurant1,10,Tuborg,10,450,4500,2,2018-07-02
69,Restaurant1,2,Cafe Latte,4,160,640,3,2018-07-03
70,Restaurant1,3,Chicken Mo:Mo,2,300,600,1,2018-07-03
71,Restaurant1,5,Mineral Water,4,80,320,2,2018-07-03
72,Restaurant1,9,Soft Drinks-Coke-250ml,4,100,400,2,2018-07-03
73,Restaurant1,2,Cafe Latte,2,160,320,3,2018-07-04
74,Restaurant1,3,Chicken Mo:Mo,14,300,4200,1,2018-07-04
75,Restaurant1,5,Mineral Water,9,80,720,2,2018-07-04
76,Restaurant1,9,Soft Drinks-Coke-250ml,4,100,400,2,2018-07-04
77,Restaurant1,2,Cafe Latte,2,160,320,3,2018-07-05
78,Restaurant1,3,Chicken Mo:Mo,2,300,600,1,2018-07-05
79,Restaurant1,5,Mineral Water,1,80,80,2,2018-07-05
80,Restaurant1,6,Mineral Water (P),7,60,420,2,2018-07-05
81,Restaurant1,2,Cafe Latte,2,160,320,3,2018-07-06
82,Restaurant1,3,Chicken Mo:Mo,11,300,3300,1,2018-07-06
83,Restaurant1,5,Mineral Water,8,80,640,2,2018-07-06
84,Restaurant1,9,Soft Drinks-Coke-250ml,12,100,1200,2,2018-07-06
85,Restaurant1,10,Tuborg,2,450,900,2,2018-07-06
86,Restaurant1,2,Cafe Latte,15,160,2400,3,2018-07-07
87,Restaurant1,3,Chicken Mo:Mo,20,300,6000,1,2018-07-07
88,Restaurant1,5,Mineral Water,20,80,1600,2,2018-07-07
