SNo,Name,TotalDiscount,BasicAmount,ServiceCharge,Vat,NetAmount,PaymentModeID,BillDate
1,Restaurant1,84.5,760.5,0,0,945.3,1,2018-06-14
2,Restaurant1,0,28245,0,0,35108.53,1,2018-06-15
3,Restaurant1,623,11837,0,0,14713.39,3,2018-06-15
4,Restaurant1,929.3,19820.7,0,0,24637.11,1,2018-06-16
5,Restaurant1,285,14820,0,0,18421.25,3,2018-06-16
6,Restaurant1,174,41718,0,0,51855.48,4,2018-06-16
7,Restaurant1,1471.5,23038.5,0,0,28636.85,1,2018-06-17
8,Restaurant1,732.5,13332.5,0,0,16572.29,3,2018-06-17
9,Restaurant1,790,3460,0,0,4300.78,4,2018-06-17
10,Restaurant1,128.4,3796.6,0,0,4719.17,1,2018-06-18
11,Restaurant1,0,7970,0,0,9906.71,3,2018-06-18
12,Restaurant1,359.5,6595.5,0,0,8198.2,4,2018-06-18
13,Restaurant1,26.25,8793.75,0,0,10930.62,1,2018-06-19
14,Restaurant1,5097.1,40857.9,0,0,50786.37,3,2018-06-19
15,Restaurant1,0,26920,0,0,33461.56,4,2018-06-19
16,Restaurant1,240.05,15444.95,0,0,19198.06,1,2018-06-20
17,Restaurant1,315,5180,0,0,6438.73,3,2018-06-20
18,Restaurant1,0,16480,0,0,20484.64,4,2018-06-20
19,Restaurant1,1888.5,28606.5,0,0,35557.88,1,2018-06-21
20,Restaurant1,66,594,0,0,738.34,3,2018-06-21
21,Restaurant1,51,64639,0,0,80346.27,4,2018-06-21
22,Restaurant1,760.9,17479.1,0,0,21726.52,1,2018-06-22
23,Restaurant1,1409,20081,0,0,24960.66,3,2018-06-22
24,Restaurant1,6040.5,103850.5,0,0,129086.12,1,2018-06-23
25,Restaurant1,2267.5,26532.5,0,0,32979.9,3,2018-06-23
26,Restaurant1,2364.85,22284.15,0,0,27699.2,4,2018-06-23
27,Restaurant1,2235,28645,0,0,35605.73,1,2018-06-24
28,Restaurant1,327,9023,0,0,11215.59,3,2018-06-24
29,Restaurant1,2226.4,10193.6,0,0,12670.65,4,2018-06-24
30,Restaurant1,822.5,75607.5,0,0,93980.1,1,2018-06-25
31,Restaurant1,0,41535,0,0,51628,3,2018-06-25
32,Restaurant1,26.25,220478.75,0,0,274055.09,4,2018-06-25
33,Restaurant1,2166,39304,0,0,48854.87,1,2018-06-26
34,Restaurant1,1363,23032,0,0,28628.77,3,2018-06-26
35,Restaurant1,147,1078,0,0,1339.95,4,2018-06-26
36,Restaurant1,2709,24381,0,0,30305.59,1,2018-06-27
37,Restaurant1,48.75,169198.85,0,0,210314.18,4,2018-06-27
38,Restaurant1,0,11615,0,0,14437.44,1,2018-06-28
39,Restaurant1,0,262214.94,0,0,325933.16,4,2018-06-28
40,Restaurant1,1746.5,20383.5,0,0,25336.68,1,2018-06-29
41,Restaurant1,322.5,752.5,0,0,935.36,4,2018-06-29
42,Restaurant1,4981.75,49393.25,0,0,61395.8,1,2018-06-30
43,Restaurant1,0,11285,0,0,14027.25,3,2018-06-30
44,Restaurant1,202.8,6487.2,0,0,8063.59,4,2018-06-30
45,Restaurant1,916,7154,0,0,8892.41,1,2018-07-01
46,Restaurant1,4203.6,42542.39,0,0,52880.19,3,2018-07-01
47,Restaurant1,0,77950,0,0,96891.85,4,2018-07-01
48,Restaurant1,1157.5,25932.5,0,0,32234.07,1,2018-07-02
49,Restaurant1,2351.25,24333.75,0,0,30246.85,3,2018-07-02
50,Restaurant1,48.75,15176.25,0,0,18864.05,1,2018-07-03
51,Restaurant1,113.5,3271.5,0,0,4066.46,3,2018-07-03
52,Restaurant1,101,909,0,0,1129.89,4,2018-07-03
53,Restaurant1,3921.6,45788.4,0,0,56914.98,1,2018-07-04
54,Restaurant1,0,6415,0,0,7973.83,3,2018-07-04
55,Restaurant1,15,675,0,0,839.02,4,2018-07-04
56,Restaurant1,30,2530,0,0,3144.79,1,2018-07-05
57,Restaurant1,0,206145,0,0,256238.23,4,2018-07-05
58,Restaurant1,2894.5,32990.5,0,0,41007.17,1,2018-07-06
59,Restaurant1,0,980,0,0,1218.14,3,2018-07-06
60,Restaurant1,1233.1,8681.9,0,0,10791.6,4,2018-07-06
61,Restaurant1,3477.75,48612.25,0,0,60425.01,1,2018-07-07
62,Restaurant1,1920.75,18739.25,0,0,23292.89,3,2018-07-07
63,Restaurant1,0,1575,0,0,1957.72,4,2018-07-07
64,Restaurant1,0,0,0,0,0,1,2018-07-08
65,Restaurant1,5891.6,88195.4,4422.8,6324.61,109626.84,1,2018-07-08
66,Restaurant1,4331.5,54660.5,5105.55,7300.94,67943,3,2018-07-08
67,Restaurant1,0,15830,1083,1548.69,19676.69,4,2018-07-08
68,Restaurant1,686,74609,7460.9,10669.09,92738.96,1,2018-07-28
69,Restaurant1,2833.2,25126.8,2512.68,3593.15,31232.6,3,2018-07-28
70,Restaurant1,0,5000,500,715,6215,4,2018-07-28
71,Restaurant1,1090,27430,2743,3922.48,34095.46,1,2018-07-29
